,file,page
0,98267.98291,4
1,3126908.3126948,1
2,3368089.3409686,11
3,ICSE.2019.00072,4
4,3468264.3468570,1
5,1268776.1268782,8
6,3473599,4
7,1141885.1141895,22
8,3371081,5
9,3452296.3473336,8
10,3434286,6
11,356022.356028,3
12,3485520,27
13,198429.198438,7
14,3453483.3454091,0
15,3168819,1
16,3395363.3397385,6
17,2699471,4
18,3377811.3380348,35
19,3473599,9
20,3485508,19
21,3236780,13
22,3452296.3472902,2
23,210089.210091,27
24,3204949.3204964,8
25,3304109.3306222,40
26,3452296.3472902,3
27,3236795,29
28,1206040.1206048,3
29,3204949.3204961,5
30,3290370,7
31,2591004,15
32,3095076,4
33,3213846.3213851,8
34,2750675.2750679,3
35,210089.210090,5
36,3290362,21
37,3445814.3446725,10
38,3192366.3192402,6
39,3126908.3126948,13
40,3460319.3464834,8
41,3385412.3386019,3
42,3119904,3
43,3360576,25
44,3428258,2
45,3446804.3446854,17
46,3453483.3454102,15
47,3200921.3200931,7
48,3446804.3446854,1
49,3453483.3454112,0
50,3304109.3306222,11
51,3092703.3092723,36
52,3341301.3359638,12
53,3466752.3480063,0
54,2700586,8
55,3276516,17
56,3485531,1
57,356012.356018,19
58,131766.131772,8
59,CGO51591.2021.9370315,3
60,3468264.3468547,11
61,3290370,27
62,3360579,21
63,3290331,22
64,962437.962444,1
65,3371100,20
66,3290372,19
67,2699467,8
68,3360546,25
69,3278532.3278546,10
70,3452296.3472898,9
71,3485483,8
72,3466752.3480061,0
73,3061709,27
74,3371109,30
75,3368089.3409743,10
76,3466752.3480063,13
77,3428217,25
78,3426425.3426940,7
79,3133895,9
80,2049662.2049668,4
81,CGO51591.2021.9370315,4
82,356022.356027,2
83,3236795,16
84,3360584,11
85,3477132.3483579,5
86,3460319.3464834,1
87,ICSE.2019.00120,1
88,3360597,23
89,2890491,17
90,1055531.1055538,10
91,3061709,29
92,3230543.3230573,9
93,3136014.3136018,0
94,CGO51591.2021.9370317,1
95,3466752.3480117,2
96,3158096,14
97,3133928,17
98,3447786.3456260,6
99,3386367.3431297,10
100,3133928,2
101,3314221.3314645,2
102,3460319.3464827,12
103,3341642,1
104,3358960.3379128,4
105,3341301.3359646,3
106,3290368,26
107,3434311,7
108,5960.214319,0
109,3428295,10
110,3133894,29
111,3473591,15
112,3453483.3454097,16
113,3445814.3446712,13
114,3377813.3381347,7
115,3072959.3054739,6
116,3485520,21
117,2700586,44
118,3445814.3446730,5
119,3290368,6
120,3126908.3126948,14
121,3385412.3386018,11
122,3341301.3359638,17
123,356012.356018,20
124,3477132.3483549,16
125,3452296.3472913,14
126,3281411.3281432,0
127,1163641.1163646,11
128,3133850.3133851,0
129,3453483.3454091,3
130,SC.2018.00064,0
131,3126908.3126948,5
132,2699467,15
133,326147.326153,12
134,2898349,11
135,3368089.3409679,3
136,ICSE.2019.00075,0
137,3377811.3380438,8
138,3453483.3454068,10
139,3485523,24
140,3468264.3468557,7
141,3295500.3356170,9
142,3236780,0
143,SC.2018.00013,8
144,3426425.3426940,17
145,2818313,10
146,3477132.3483558,7
147,3295500.3356178,4
148,3461648.3463852,11
149,3437801.3441592,1
150,3453483.3454097,3
151,3276499,3
152,3385412.3386010,13
153,3473599,22
154,3473599,5
155,3371103,21
156,2591005,0
157,SC.2018.00072,7
158,3486601.3486707,4
159,214392.214396,3
160,210089.210091,30
161,CGO51591.2021.9370317,9
162,3293882.3330550,0
163,78928.78932,7
164,3385412.3386018,5
165,3434336,19
166,3133894,3
167,3360602,14
168,3360584,22
169,356012.356018,6
170,3452296.3472932,7
171,3368089.3409758,10
172,3385412.3386018,10
173,3473599,0
174,3453483.3454112,4
175,3372885.3373835,5
176,3485483,11
177,3453483.3454029,6
178,ICSE.2019.00072,33
179,2700586,41
180,3453483.3454072,3
181,3368826.3377913,10
182,3460319.3464837,1
183,3236794,18
184,3371136,23
185,3360571,8
186,3236795,13
187,1916461.1916470,0
188,347837.347852,10
189,3473591,1
190,3276516,16
191,3213846.3213851,11
192,3368089.3409755,11
193,ICSE.2019.00030,1
194,3204949.3204953,16
195,3371109,31
196,3373376.3378455,2
197,3428208,16
198,3447786.3456255,1
199,3426428.3426917,16
200,3453483.3454055,15
201,3477132.3483552,6
202,3072959.3054739,13
203,3434305,13
204,198429.198438,8
205,2834115,12
206,98267.98291,0
207,3230543.3230560,3
208,3089248,11
209,3290319,4
210,3466752.3480061,3
211,3371136,33
212,229473.229475,5
213,210089.210090,3
214,2882903.2882961,12
215,3428288,16
216,SC.2018.00013,12
217,3485514,4
218,2168773.2168779,6
219,3477132.3483579,4
220,3426425.3426940,9
221,3158096,26
222,3095076,1
223,3458864.3466625,2
224,3453483.3454102,16
225,3236024.3236073,9
226,3178487.3178489,8
227,3178487.3178514,5
228,3377811.3380323,8
229,3386367.3431315,1
230,3434330,6
231,1236463.1236469,12
232,3408988,20
233,3485542,16
234,3385412.3386018,0
235,3437801.3441578,3
236,3290381,13
237,3236781,16
238,285861.285866,0
239,3377811.3380348,22
240,3373376.3378478,8
241,SC.2018.00064,1
242,3092703.3092723,20
243,3168824,7
244,3089248,3
245,3119904,9
246,3452296.3472913,11
247,2513109.2513117,15
248,3385412.3385991,7
249,3368089.3409757,3
250,2669372,4
251,3434330,5
252,3485531,21
253,1322436.1322441,2
254,3437801.3441617,20
255,3200921.3200931,5
256,3426428.3426917,7
257,3453483.3454055,21
258,3290335,1
259,3230718.3230729,0
260,3485520,13
261,2890491,21
262,3445814.3446725,5
263,356012.356018,18
264,3290368,27
265,1236463.1236469,10
266,3385412.3385966,1
267,779359.779360,3
268,3213846.3213872,4
269,3408985,9
270,3477132.3483550,3
271,3384441.3395990,0
272,3368089.3409745,10
273,3276532,21
274,3428212,21
275,3373376.3378473,0
276,3453483.3454094,4
277,3332466.3374547,14
278,155743.155767,14
279,3276516,22
280,3460319.3464807,11
281,3157735,3
282,3371103,7
283,3072959.3054739,8
284,3158103,28
285,178365.178391,12
286,CGO51591.2021.9370337,0
287,ICSE.2019.00046,2
288,3365438.3410936,4
289,3236024.3236061,12
290,3408982,8
291,229473.229475,7
292,3428220,22
293,3211332.3211334,12
294,3486601.3486707,9
295,2699471,5
296,3377811.3380385,2
297,3158089,10
298,3485521,23
299,3360597,27
300,3236795,22
301,3395351.3399343,1
302,3236794,10
303,3447786.3456260,8
304,3158089,1
305,2890491,26
306,356004.356010,3
307,3276532,22
308,3385412.3386010,4
309,2450153.2450159,1
310,ICSE.2019.00125,3
311,3452296.3472913,8
312,3360568,11
313,3468264.3468598,5
314,3385412.3385991,5
315,ICSE.2019.00108,10
316,3368089.3409687,9
317,3453483.3454072,5
318,210089.210091,0
319,347837.347852,1
320,3290362,28
321,3314221.3314600,8
322,2049662.2049668,3
323,3453483.3454102,0
324,3477132.3483552,13
325,3276508,3
326,3276516,7
327,3445814.3446709,12
